start_time,end_time,midi_note
0.0000,0.4500,45
0.5000,0.9500,42
1.0000,1.4500,47
1.5000,1.9500,37
2.0000,2.4500,38
2.5000,2.9500,39
3.0000,3.4500,40
3.5000,3.9500,42
4.0000,4.4500,43
4.5000,4.9500,42
5.0000,5.4500,41
5.5000,5.9500,42
6.0000,6.4500,43
6.5000,6.9500,50
7.0000,7.4500,45
7.5000,7.9500,36
8.0000,8.4500,36
8.5000,8.9500,37
9.0000,9.4500,38
9.5000,9.9500,40
10.0000,10.4500,41
10.5000,10.9500,43
11.0000,11.4500,45
11.5000,11.9500,48
12.0000,12.4500,47
12.5000,12.9500,44
13.0000,13.4500,41
13.5000,13.9500,39
14.0000,14.4500,40
14.5000,14.9500,41
15.0000,15.4500,42
15.5000,15.9500,44
16.0000,16.4500,45
16.5000,16.9500,42
17.0000,17.4500,39
17.5000,17.9500,37
18.0000,18.4500,38
18.5000,18.9500,45
19.0000,19.4500,40
19.5000,19.9500,42
20.0000,20.4500,43
20.5000,20.9500,48
21.0000,21.4500,55
21.5000,21.9500,42
22.0000,22.4500,43
22.5000,22.9500,48
23.0000,23.4500,37
23.5000,23.9500,36
24.0000,24.4500,36
24.5000,24.9500,37
25.0000,25.4500,38
25.5000,25.9500,40
26.0000,26.4500,41
26.5000,26.9500,43
27.0000,27.4500,45
27.5000,27.9500,48
28.0000,28.4500,47
28.5000,28.9500,44
29.0000,29.4500,41
29.5000,29.9500,39
30.0000,30.4500,40
30.5000,30.9500,41
31.0000,31.4500,42
31.5000,31.9500,44
